"";"logFC.6w";"logFC.8w";"logFC.10w";"logFC.12w";"logFC.14w";"logCPM";"LR";"PValue";"FDR";"logFC.WT";"module"
"Reg3b";0;5,57306356864402;13,2428775950111;7,19717621474887;17,8694251663101;7,40415581698696;1323,26088246789;5,83205430304909e-284;9,50624851397001e-280;0;1
"S100a8";0,358021706067005;2,67015221127823;13,1012636690297;6,18655943325476;15,3599083718034;9,95052014329988;1190,9453356005;2,68692985909702e-255;2,18984783516407e-251;0;1
"S100a9";0,58667768143759;2,5051269968593;11,7490371572136;5,91468297414718;14,1264784186928;9,39802610332541;1083,89835801372;4,10171243025098e-232;2,22859708710303e-228;0;1
"Cxcl5";-0,00117190288807399;4,34377038578181;12,5953799917949;5,93202127459747;13,440433949442;8,14387480557466;1013,79676390714;6,19240720054847e-217;2,5234059342235e-213;0;1
"Reg3g";-0,397584674182906;1,46471987525617;7,75040360050548;4,23918371159761;11,1548241098409;6,64515792510827;948,16476141288;1,00035926580991e-202;3,26117120654032e-199;0;2
"Sprr2h";0;8,96381767859102;13,5704473910212;7,75873354383888;14,3274407111791;4,50534227912553;740,110948599991;1,04105280914129e-157;2,82819346483384e-154;0;1
"Ccl7";1,09548004644981;2,81792750765532;8,3507441420055;5,20201671271725;9,95787810872605;6,78037444610008;678,577234354424;2,10359497947789e-144;4,89837116649851e-141;0;1
"Gm8714";2,87215320783391;12,4585661563842;14,2329946239107;12,0151612443218;9,50618842135702;6,05302356773323;665,171089674257;1,66383100739217e-141;3,39005567756154e-138;0;1
"Spink6";-1,71287766971986;1,43330419786072;10,2662062359674;-1,71287766971986;11,5091817994061;3,204034342969;647,196877890181;1,27752261939086e-137;2,31373541067456e-134;0;1
"Cxcl1";0,153066320291839;3,42745340402627;8,15329461731301;4,82265075572314;9,95178391071402;4,54552151631349;642,699076827876;1,19818712784754e-136;1,9530450183915e-133;0;1
"Cxcl3";-2,4770798489552;2,89113586419775;9,05148745413328;3,75328224865556;11,1855340912637;3,44148036210738;617,050011410729;4,18505916175812e-131;6,20149675787794e-128;0;1
"Sprr2k";0;7,40312151094668;10,2809156378331;6,79356894483408;13,6907601682036;3,31732535425527;571,168704473835;3,42401924703662e-121;4,65095947722474e-118;0;1
"Gm10221";9,12847010170145;8,23128376324819;12,0712267459891;0;13,8497985500756;3,75557168190925;562,191406841004;2,97610102486487e-119;3,73157282348441e-116;0;1
"F830016B08Rik";0,808722936054212;8,87303986797757;10,7736641623587;8,67159092482084;6,92953472786888;5,48061681310178;552,991982135091;2,88780453239673e-117;3,36222956271904e-114;0;1
"Ltf";0,878707024306321;6,30105321314705;9,61054926785387;6,47165703370947;7,60753812943613;5,54514730221472;499,614964542928;9,66865424630653e-106;1,05066042809864e-102;0;1
"Saa3";0,425792331828066;3,1536473582897;7,03930154315366;3,9059139092477;8,08926742016359;4,82880636583983;496,229806315554;5,20035110511394e-105;5,29785768833482e-102;0;1
"Serpinb11";-0,404446541858051;2,08472633906415;5,18471803521604;3,24671799168167;9,5577382238804;3,00279572066753;495,776199450604;6,51536549408336e-105;6,24708573844463e-102;0;2
"Ido1";1,22463832772281;9,23196555333702;10,2845376775608;8,83170912506674;8,46524146824015;7,01330031623172;495,143499088466;8,9227635385472e-105;8,08005809323996e-102;0;1
"Clca4c-ps";2,10496401937845;5,67240977017026;10,5819844535415;6,4982093620548;10,7998047038907;3,71240635718003;492,634803744507;3,1042739656613e-104;2,6631402968568e-101;0;1
"Lrg1";-0,127910957525496;0,686114223629641;6,65134710543495;1,44525345728299;6,49266478012617;8,42812709945677;491,091456213905;6,6843306856043e-104;5,4477295087675e-101;0;1
"Retnlb";2,22863416539212;5,99421632405038;8,0306957925844;6,86434612671134;9,75931268437092;5,3793037225686;473,030097408307;5,28108114727294e-100;4,09912489050233e-97;0;1
"Gml";-2,46881488045959;2,0312354334802;9,08400289947869;4,85898912815607;10,4025227210893;2,85453984795299;466,254482743844;1,52992513621062e-98;1,13353544182878e-95;0;1
"Clca4b";1,87683869209553;9,27443310841575;10,8439077855736;8,92347312360464;9,50232885483986;9,98869734437223;460,112456094454;3,23439455334232e-97;2,29220135736868e-94;0;1
"Gm8556";1,82526440859121;0;8,09359401436145;0;12,3667474290159;1,89199689403628;459,137529280837;5,24952329985947e-97;3,56530124115456e-94;0;1
"Gzma";0,371485397165915;6,90839658986178;8,20231655604901;7,48913471069933;9,31637709860155;5,20830876295147;458,48207684675;7,26980828397188e-97;4,73991500114967e-94;0;1
