"DistC_10w_B4" "DistC_10w_C1" "DistC_10w_F6" "DistC_12w_A4" "DistC_12w_B1" "DistC_12w_E3" "DistC_14w_A3" "DistC_14w_C3" "DistC_14w_E4" "DistC_6w_A2" "DistC_6w_B2" "DistC_6w_F7" "DistC_6w_G3" "DistC_6w_G4" "DistC_6w_G5" "DistC_8w_B3" "DistC_8w_C2" "DistC_8w_D4"
"0610009B22Rik" 57.231858 35.07406 29.856 40.380137 51.2433 44.897578 33.6216 53.0175 55.8827 30.518154 35.18802 31.2314 30.4514 24.8857 26.849911 28.86939 39.527191 32.508514
"0610010F05Rik" 10.5297099 5.411769 8.2935985 4.6181899 6.16167 6.015688 6.298257 2.732697 4.91458932 7.030878 6.645277 8.63641 7.502063 6.122018 5.876758 8.232259 5.383498 6.314051
"0610010K14Rik" 38.95243 52.216426 51.553759 40.97597 41.017635 35.296663 33.872855 44.4765914 51.430266 38.222885 34.177336 42.787526 37.776173 36.758182 38.30986 35.125442 44.792884 43.833576
"0610012G03Rik" 70.9222 59.574 65.7601 75.1245 64.2546 53.4033 51.7986 69.109 72.5995 50.5033 47.4021 49.3033 59.6144 53.6797 49.3906 46.7604 73.9232 48.8343
"0610030E20Rik" 3.553716 2.2217832 2.984114 3.190664 3.967461 3.809845 3.45738769 0.8664929 0.8822453 3.875479 3.0144012 3.45451 2.804517 3.272216 2.993724 3.815991 3.860787 3.491553
"0610040J01Rik" 86.626904 68.738 73.517139 69.29156 60.57415 61.884382 57.65554 58.691508 65.516615 44.75469 54.515868 53.41307 51.330709 50.402359 46.82082 56.64654 68.87866 63.84516
"1110004F10Rik" 122.732086 92.6049487 81.635282 72.148209 79.102317 79.4031554 75.2381319 80.649133 104.51251 65.150063 70.494827 70.88519 75.2810757 64.6282578 65.050335 76.732767 82.76301 73.365994
"1110008P14Rik" 65.405738 50.908124 57.098639 54.567657 57.360031 48.794444 25.197492 72.242383 70.941968 35.737296 35.940344 35.460655 42.741055 51.422983 42.94475 27.344049 63.863132 26.982671
"1110012L19Rik" 7.3825 10.2914 9.58252 14.562 13.3476 12.3693 15.6404 9.60941 9.56997 13.5189 11.8675 13.8561 17.1417 15.995 13.3254 12.7585 16.216 11.1105
"1110032A03Rik" 10.581254 13.936071 14.563713 21.004443 27.53284 19.778523 28.215883 14.958918 13.242459 28.2723988 27.687702 28.9774021 29.608202 24.7680681 31.44234 23.2518085 20.822214 18.741729
"1110032F04Rik" 0.52445 0.452336 0.125703 0.28071 0.224715 0.359938 0.20532 0.233196 0.221138 0.380019 0.111577 0.408255 0.243531 0.313485 0.442998 0.295853 0.408536 0.200881
"1110038F14Rik" 16.0205154 38.606743 37.80086 34.462013 36.137284 23.377802 21.249619 20.149943 24.707604 18.689989 13.822027 16.5949303 26.197708 18.715927 20.263887 22.807333 37.745839 22.51655
"1110051M20Rik" 3.48845 6.717015 4.078454 4.279395 6.8153676 3.6322817 10.865031 9.288861 6.2559785 8.681607 9.269806 9.378396 7.2943276 7.919898 9.107228 8.641598 8.609113 3.448963
"1110059E24Rik" 200.009338 101.8728972 68.0822 77.282534 110.661044 76.396699 54.365833 144.0744651 147.773436 38.9341205 44.861311 41.470249 31.023576 33.81139 31.8429 51.556946 67.921255 71.291
"1110059G10Rik" 38.376489 21.716511 13.1445153 17.120231 17.432524 19.174939 13.7358771 30.633713 35.718247 14.2002449 15.420801 10.2411452 10.3646483 8.561498 12.6481737 18.860021 17.962708 16.321147
"1110065P20Rik" 24.14939 27.449407 20.710155 40.066666 33.526673 24.817961 21.448256 28.061635 29.21381 22.901705 19.026361 24.402532 35.307589 28.713861 33.44352 17.5704664675 31.41944 14.223951
"1190005I06Rik" 0.277478 0.965498 0.563236 2.731239 1.69676 2.08975 2.20798 0.583054 1.69066 1.31158 2.26496 2.57429 4.35621 3.88671 3.57653 2.45599 2.24779 1.14347
"1190007I07Rik" 9.897554 9.462439 10.484548 9.95316 10.023567 9.715297 4.070413 14.38316 6.461395 8.684664 8.913877 7.52563 9.6725 5.115866 7.616572 9.15902 8.924418 3.891838
"1500009C09Rik" 0.420371 0.4133279 0.2306428 0.452857 0.358352 0.183493 0.426803 0.0498385 0.255656 0.0691426 0.134926 0 0.127002 0.0920828 0.088408 0.0766503 0.457828 0.364489
"1500009L16Rik" 7.699057 5.939433 6.577996 9.5054906 10.034303 8.8774452 9.032892 13.02743 16.2463 8.47862 6.9174383 6.0262594 8.4408618 4.9570153 6.6984756 6.48578 10.8932 10.90194
"1500011B03Rik" 44.09016 36.9226 25.13953 40.01029 36.34407 33.29791 23.842826 60.56956 66.29395 24.00473 19.611057 18.54736 26.903551 23.59286 26.43067 27.17056 40.52097 28.37944
"1600012H06Rik" 38.13694 24.526744 26.804 28.095719 26.565791 26.377867 29.388991 23.3190728 25.18165 26.875705 30.9883 29.097416 24.931178 26.261692 27.0596301 37.743892 30.91998 28.92053
"1600014C10Rik" 16.311477 11.185937 10.00934 9.970649 20.70136 12.897274 19.229039 9.578169 9.16365 22.024032 17.899778 24.457582 28.286980232 23.96402 23.183331 23.893039 18.100465 15.261704
"1700001L19Rik" 0.2509426 0.0598344 0.140835 0.1917229 0.402941 0.1660695 0.1389894 0.671807 0.224871 0.2705007 0 0.202808 0.167526 0.236168 0.118256 0.2964544 0.187747 0.09414093
"1700001O22Rik" 1.1843828 1.019604 2.565262 2.6384152 2.328929 2.837344 2.561545 0.17489 1.081472 2.245196 2.32094 2.2120344 3.698633 2.618464 3.096398 2.06098325354 2.831842 2.842393
"1700003E16Rik" 0.293829 0.485259 1.0331229 1.68446 1.10325 1.543618 3.5858 0.0593233 0.0517189 3.76594 2.465179 3.54943 6.6816348 4.39735 5.0768772 2.177233 2.06333 1.80799
"1700010I14Rik" 0.582016 0.92923 0.576588 0.8323721 0.811067 1.263893 1.090234 0.486138 0.669207 1.131384 0.6479121 0.948416 1.18883 0.702315 1.1549300714481 1.525383 1.3262765 0.6249129
"1700016C15Rik" 2.50805 0.736505 0.0769054 0.200028 0.206687 0.0702916 0.0712729 1.50659 1.06871 0.184957 0.178435 0.0934029 0 0 0 0 0.383983 0
"1700016H13Rik" 0.2644716 0.149861 0.0892722 0.5096311 0.475136 0.62791 0.7225153 0.993929 1.186775 0.783747 0.662993 0.704292 0.73692300132482 0.486187 0.811127 1.053639 0.2974761 0.717981
"1700016K19Rik" 0.633482 0.323424 0.983596 2.30748 0.932386 1.95831 3.27809 0.684215 0.88057 2.43936 2.09365 2.12023 3.35258 2.30867 2.98258 1.61081 2.02308 2.19087
"1700017B05Rik" 7.406881 6.815336 12.145839 3.3634767 3.0211249 7.0804615 7.174403 1.409297 2.4944084 9.111221 7.32456 8.407578 5.481289 10.4224021 8.3375001 9.149376 11.75659 11.748364
"1700019D03Rik" 75.351026 46.2609 49.64362 44.00262 35.906452 27.58406 35.9467 27.5071000237607 39.0223 28.932977 23.49395 35.4544566635 40.39542 37.9949 34.42711 56.623916 29.9392 39.44349
