"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"Plet1";0,52988875768432;2,47784515309437;3,2161376389379;7,88011633708681;7,0076781548054;10,3019607812233;7,35650056760243;1772,09709466237;0;0;0;2
"Reg3b";-0,426412599354995;1,79440854158924;0,675937809866699;10,024604617268;0,328001078396145;11,4874387387806;7,24945540889684;2769,59604427959;0;0;0;2
"Reg3g";-0,305410779654839;1,92828617884938;2,37712029182118;9,82780035211433;5,1252492591633;12,225344267697;6,63595478094593;2595,13802682224;0;0;0;2
"S100a8";0,821456332724653;1,71088073663433;2,65464698431619;9,93274970976739;6,605362317401;11,3272564897332;5,28142006664276;1927,99394495582;0;0;0;2
"Cxcl5";0,5558317843654;1,07938747600534;0,756343714110043;4,98563854663298;3,5401334114423;7,68764039965935;5,90609918095131;1487,50739290779;2,72188669344276e-318;8,45799070922778e-315;0;2
"S100a9";1,86539999864297;2,63678595656527;4,79895350195267;10,4790049973483;7,48720321908148;10,7845068751117;4,32133953277511;1209,00418993469;5,38614878199851e-258;1,39474322709851e-254;0;1
"Nos2";1,14064275999643;5,81838385856824;6,53291329427815;7,25936509529755;8,14675869368249;9,65416185584981;6,76390440479212;1194,73862362815;6,58740040526342e-255;1,46212057280825e-251;0;1
"Retnlb";1,43413066644901;5,13389760835806;7,53231802461004;9,00840484553106;8,9827923919932;9,86126477602013;7,83087169237118;1163,91507257052;3,08530720781531e-248;5,99205226097831e-245;0;1
"Ubd";0,194485978608607;4,75201511063668;5,90735186612078;6,71301415107974;7,74062061603761;8,55115175824181;7,36571680287842;1088,9181596138;5,2110091140168e-232;8,995938733831e-229;0;1
"Cxcl9";1,63273002352259;6,97895497334171;7,42769385502078;8,36739598605966;8,62790366327537;9,73060884743747;5,62604234690655;1047,91898599044;3,85928293233633e-223;5,99616789197096e-220;0;1
"Ido1";-0,0153930167996115;4,85000332717355;4,57859949586883;6,67723376849526;6,43838509569781;7,79012659684391;6,55049152934801;1001,27848817379;4,73035362711162e-213;6,68140948222121e-210;0;1
"Ang4";2,53810749212398;1,50310973052234;5,93312533390637;7,37947826302515;7,58193436946229;7,94982694314406;8,922539942059;955,251287459646;4,25385164589472e-203;5,50767441852218e-200;0;1
"Lrg1";0,42815488211669;1,73938937769674;1,58966796498923;5,41445940561237;2,94332933124746;6,09237842245035;5,70371607939774;941,587965139791;3,83043420534338e-200;4,57795817295539e-197;0;2
"Clca4b";1,14900470715967;5,00194782635984;5,26895905634083;6,97027907409344;6,77225593856165;8,50649797976052;9,52998345908601;886,449318193142;3,19266860408546e-188;3,54317800726256e-185;0;1
"Tgtp1";1,39218355733115;6,74034143859559;6,38257052154313;6,21977065154956;6,76003757938815;8,25537083395564;7,0046323710265;855,370180599483;1,66714899921713e-181;1,7268329333891e-178;0;1
"Gm8714";5,69947748579383;12,8274268171504;11,8107907029252;12,384944652166;12,7447820040346;14,2796370736549;4,67359798455265;839,709233378345;4,04290389698778e-178;3,92591236546869e-175;0;1
"Ifi47";1,13166445677748;5,10984663622108;5,15032237767476;5,34160286340568;5,76396891387938;6,99215090945073;6,49208633790775;714,946086912794;3,62506825205467e-151;3,31309914306903e-148;0;1
"Sprr2h";1,16732547953549;1,52352243464185;2,79955106359773;8,80622127738864;6,05175998458678;10,3336475143639;2,99866782160923;704,631348083463;6,11710827443395e-149;5,28008395888224e-146;0;2
"Gzma";1,39644521864139;7,35256372375493;7,80354263079189;9,51844214453519;7,38425096886913;8,66338477616218;4,38700008671135;703,12562740403;1,29317253429304e-148;1,05747482449005e-145;0;1
"Iigp1";1,31841969947083;5,79470239190103;5,41463290976749;5,10343810766897;5,75332517730024;7,14523380417306;6,90994779239939;702,322383978072;1,92791799583059e-148;1,49770309506099e-145;0;1
"Cxcl10";-0,0737272692804062;4,37486678710968;4,57087705644632;5,94127054256227;6,06970977598874;6,94013309754029;4,84592033515942;682,021480401413;4,65554433884686e-144;3,44443773298398e-141;0;1
"H2-Q7";0,686048394592497;4,44550214781748;4,88909991283523;5,23646890299056;5,65520948525399;6,43086603478607;6,7656919416639;663,552382239064;4,51553683329923e-140;3,18899526268046e-137;0;1
"F830016B08Rik";0,774142282745349;7,70463513407074;6,80746376551369;7,40321416595096;7,85392606766391;9,21718291713847;4,15025864750454;641,943968418847;2,08088832721283e-135;1,40568530173503e-132;0;1
"Sprr1a";0,238824610934768;1,00876085030758;1,12726303867642;3,94049772091432;2,33290105561471;5,42514254289778;4,81047666528855;636,691074735145;2,82999552480239e-134;1,83206835286895e-131;0;2
"Ifit2";0,307762899306677;3,14514500506631;3,13074992854288;3,98451560470815;5,27220223281239;5,44318429976035;6,26486067816715;636,384303383078;3,29596818653254e-134;2,04837830856624e-131;0;1
"H2-DMb1";0,760905183795097;4,62019083749332;5,10594910714097;4,79721023480494;5,21648153225619;6,06736489451967;6,44050291087895;604,29837017892;2,75780620489709e-127;1,64800134636485e-124;0;1
"Ccl5";0,0887191517248738;5,22180487840789;6,1445110069364;6,47352636299859;6,34502215713405;7,15840424186398;4,47539347875247;587,194095111236;1,34850987785178e-123;7,7599251748826e-121;0;1
"Apol10a";0,949515956855383;6,02001392296573;5,80175635369696;4,61952511618078;6,37471965111016;6,81489146748809;4,77373487213833;584,846573708649;4,32657606086791e-123;2,40078615206088e-120;0;1
"Tgtp2";0,956457480145326;5,05446803415614;5,07451741431997;4,90325135367997;5,32448988370224;6,52451695196035;5,22963645954585;584,033717114029;6,47813485453579e-123;3,47071659430768e-120;0;1
"Ccl7";0,321604252004133;4,41192715982564;3,97014505996955;5,86110210631772;5,84385305247996;7,92502348461226;3,81478478100989;581,169650566627;2,68607914013489e-122;1,39112038667586e-119;0;1
"Ltf";0,76769191053042;3,17439049344455;3,91916982772876;5,28861808213271;4,04185895858425;7,27181131447741;3,90652099406911;577,584942242027;1,59284218502488e-121;7,98322226733275e-119;0;1
"Cyp2c55";-0,0609592356946139;-0,550015992584108;-2,74304821505242;-0,69515235479502;-0,725623090691128;-8,79703502325612;7,06065434677736;558,337988084936;2,25041206495636e-117;1,09264538291334e-114;0;8
"H2-Q6";0,485701121380691;3,23386734680781;4,0741762310667;4,06393354983394;4,80102336030139;5,33211700633619;5,88256665391546;553,02164055294;3,15073627609696e-116;1,48342392490056e-113;0;1
"Gm12250";1,18882510722284;5,00487854636547;4,80078647990502;4,99865535784024;5,43604784325631;6,75882858323842;4,86458050408551;547,584602840577;4,68273071560514e-115;2,13987020965756e-112;0;1
"Gm4951";-0,701585866367472;4,4340947757558;4,23531657476722;4,70239474065092;5,26740211199785;6,82906069223317;4,03853958154096;531,178297524607;1,60975317413764e-111;7,14592430473616e-109;0;1
"Cwh43";-0,469762076451624;-0,441874368866657;-0,366634882884341;3,21917047571297;2,73252867495639;4,71937778921423;4,05412357452706;511,573002598027;2,70056671906153e-107;1,16551958650164e-104;0;2
