"";"logFC.W1";"logFC.W2";"logFC.W3";"logFC.W4";"logFC.W5";"logFC.W6";"logFC.W7";"logCPM";"LR";"PValue";"FDR";"logFC.W0";"module"
"Ceacam2";-0,439715317052907;5,35455738260055;-0,482972078276866;-1,09602501619771;-1,39494983582843;-2,09881868783998;5,33994162474629;5,73730919112548;2376,9846620649;0;0;0;4
"Cxcl5";1,91438755761296;3,220299789526;4,05722509258259;6,93888845073859;10,6173841012363;9,74922014288048;11,6981410899323;4,98954771504462;2312,21813717691;0;0;0;2
"Cyp2c55";-0,75179273901274;-0,678290964260367;-3,45354968512899;-6,63339541769955;-7,7332974794664;-8,66401454182612;-9,32612065909832;6,04065650485645;2189,84977424416;0;0;0;6
"Lrg1";0,35092776006322;0,543596610601407;1,78983247754558;4,18166628712981;5,83492959671988;5,21960559152526;7,14431413767924;6,7204361854349;1650,52551031667;0;0;0;2
"Ltf";1,84290091802042;3,97536115749139;4,87780554995246;6,46395489009877;7,66031100671055;7,65378298328657;9,31977125319607;5,41238506510454;1566,30251351957;0;0;0;2
"Mmp7";0,55897559375928;2,31939056216265;1,63287241178352;5,5435239983025;9,45820607665816;7,91344400045884;8,1315181475997;4,47701423380253;1756,25074953373;0;0;0;2
"Plet1";0,351663796791646;0,683694929419862;4,41923668637462;5,66257317193757;8,16407041144309;8,63945579671947;9,56616629606259;8,41717088627821;2022,28999245144;0;0;0;2
"Reg3b";1,86872486712855;6,16718006081729;1,90282672581844;10,8878841979587;14,5079172484407;15,1059185795315;18,8010617934775;7,98496916762815;4053,98602562131;0;0;0;2
"Reg3g";1,13226149605637;2,06982969006036;2,63523049412996;6,39561956945969;10,1672627161758;10,4591958964241;13,896575843578;7,68990100929535;3639,09651189632;0;0;0;3
"Rpl34-ps1";0,0756173098598536;9,90819180979895;-0,679838599327911;0,631257569685993;0,257624390111823;-0,8356810323988;10,1080633637966;3,67571570027303;1814,89081318392;0;0;0;4
"S100a8";1,14454615482138;2,62259785500046;4,24119298552378;7,57018675459259;11,7952190686386;10,6846064480833;12,6777625735894;6,943305428743;3131,46792948126;0;0;0;2
"S100a9";3,06500070796807;3,97275282026339;6,22217108143315;8,07120895454034;12,1559044995509;10,6444710385695;13,7229738236225;6,7518632649182;3082,06034363851;0;0;0;2
"Sprr2h";0,846322758820723;0,691505957113339;4,8504981038127;7,67048258111987;10,9973524490838;10,2782606874571;12,3635982782642;3,9483100807496;1735,61911870554;0;0;0;2
"Nos2";1,45600918176162;4,83734053095152;6,28941087825962;7,60000260799161;8,40621347068492;8,69842420376307;9,7038611012231;7,57974260518687;1515,72430986581;3,45845952088873e-323;3,88385004195804e-320;0;2
"Serpinb11";0;0;2,69147529117645;6,9581846422113;12,2666794903186;10,8508732881341;13,5205142866761;3,20070539213103;1506,43405409752;3,58197593234904e-321;3,75439002077826e-318;0;3
"Ang4";4,07835800584703;5,88952690188691;9,47094335460278;7,59958807823481;6,0293257430544;8,55943943569202;0,284987600519749;8,34808017173781;1467,48199123142;9,64040855887805e-313;9,47290646016754e-310;0;1
"Lcn2";0,365699632946229;0,92681667744847;1,85331896469849;3,41130570461344;5,07339815269485;4,80448732733687;7,06071005581592;4,99368848640525;1414,40694454495;2,94615067714735e-301;2,72466946741827e-298;0;2
"Ido1";1,835302784343;7,80607384184121;8,0963241923061;9,56370992672852;9,96394103577581;10,2083581617094;9,17967361378022;7,2138423825636;1411,96938377014;9,9241759008612e-301;8,66821630629665e-298;0;1
"Cxcl11";2,50971566520276;7,63748628979605;7,10879752779794;9,80343315993961;10,4669818308777;9,99005251044261;8,47452929409241;5,42133599203989;1405,75743745647;2,1919014910299e-299;1,81374080220905e-296;0;1
"Clca4b";5,44633901146728;6,76745907934678;8,82825644858131;10,1728461468639;11,3911516486964;11,2273656921119;11,9481371343435;10,4569442021661;1378,01476733299;2,2052362912467e-293;1,73353624854903e-290;0;2
"Gm8714";5,2551930692051;13,4934535489745;13,8116513986505;14,8201858955115;13,7269813802864;13,8650469551185;13,057336388573;5,81659806316561;1367,60615022296;3,93946779187985e-291;2,94934822018738e-288;0;1
"Mfsd2a";1,72442966382104;2,4761415081481;3,86915948390381;5,73042798045619;7,31326404132831;6,98578370361116;7,97646083519345;5,09315616643027;1349,41006503257;3,40522588048211e-287;2,43349824058817e-284;0;2
"Hao2";0,0112651481769367;-0,543504358105039;-1,23245769858698;-3,34656482838103;-3,49528306869945;-7,56172132398157;-6,90704953316299;7,25505685662629;1263,68649842333;1,19022657999463e-268;8,1359749089894e-266;0;7
"Krt90";2,05160166251222;2,48343359537702;5,21245106685484;6,55573665688495;10,3519665398808;9,71936297584581;10,593121277088;3,53602262293851;1253,98258923349;1,49434358218634e-266;9,78919574963898e-264;0;2
"Trim15";1,67897259265488;2,58391529055095;3,42974436009454;5,58545613140408;6,96748866764866;6,35648996628393;6,87940443172454;6,69859869833469;1248,38032834364;2,43283278664969e-265;1,52995988286826e-262;0;2
"Sprr1a";1,44512445352187;1,93697193557317;3,66593032411451;4,47834663946754;6,29662149903682;6,10338695760472;6,84079723905785;5,82069968971089;1226,60732930789;1,24447571375912e-260;7,52524891220037e-258;0;2
"Cxcl9";2,80645453440167;7,87812948622331;6,91522458214767;8,80642020183259;8,867641447039;8,97563477535615;8,32264890582405;6,28366264342949;1194,42629466092;1,13289992120658e-253;6,59683428192959e-251;0;1
"Itln1";1,15146927030247;3,15290648504512;7,60104423394755;5,32366075316918;4,24363198683391;7,12231385783937;3,51261135639722;7,40139191949323;1173,1284227783;4,56524617079371e-249;2,56338572490067e-246;0;1
"Retnlb";2,78499351048034;6,02264392707394;9,42793324351856;8,60805118833345;8,22602706777385;9,22627317343032;7,01411300302308;8,15459352710958;1171,5025797138;1,02567161805157e-248;5,56055488931269e-246;0;1
"Cyp2f2";-0,364390393393014;-0,971420278986554;-1,71546905529506;-2,96511855080318;-3,63144776766366;-7,3156733215086;-7,3024805078171;5,369127747483;1152,53021294284;1,29750383365485e-244;6,79978509090719e-242;0;7
"Sprr2b";-0,129502543310227;0,576870753314453;0,135690014367285;1,55322793190028;4,83296114310495;4,24880859254939;7,99542431407613;2,96781335428755;1129,47252425576;1,25348461033985e-239;6,35718872379457e-237;0;3
"F830016B08Rik";1,60152070179881;8,78649680629027;9,12845155034625;10,0456681077496;9,12456086532488;9,2939977858731;8,47295371273174;5,12844641894594;1080,64410280617;4,49966824116488e-229;2,21074325273732e-226;0;1
"Ccl7";1,89406255849461;4,79276540961653;4,38806087021434;7,34253685762418;8,28729764742107;7,87776590983832;8,20430848998732;4,46440422537792;1067,43526580035;3,22192214980355e-226;1,53500181937004e-223;0;2
"Klk15";-0,0973308773241877;-1,45630339353391;-2,17991895101558;-3,64280752738023;-3,57102743744916;-6,46797364713715;-6,60686324862403;4,98453162906743;1063,01905890608;2,90127839978345e-225;1,34158526474693e-222;0;6
"Prss22";-1,80169232887717;0,704803238263951;2,06985335957524;7,36758587856629;10,6985289316694;9,11505892854902;10,5423491824019;2,73841457188189;1046,08154759986;1,327753897975e-221;5,96427050970368e-219;0;2
"Mptx2";1,29710700936776;2,87601758960764;5,42066864527565;4,53140844029002;3,25182403980774;3,14555690188884;-2,26815491483127;6,19386724299594;1042,93278943547;6,36201892754831e-221;2,77843504385874e-218;0;5
"Tgtp1";2,52893633463192;7,86254618558902;8,18626345835947;8,99303084266819;8,48874904569143;8,41896968300193;7,67426863464368;7,7583789921673;1028,63855342678;7,80897474511615e-218;3,31818110655989e-215;0;1
"Cxcl10";2,45749937215234;6,70520526006865;5,01531480902475;7,36371467237369;7,86417528418503;7,69339577360113;6,93484832003806;5,58355082183918;1008,86579068461;1,46272540153246e-213;6,05183388497195e-211;0;1
"Pla2g2a";0,869491828097452;4,45668142446654;6,83006419742753;6,94890863686374;7,71612666317282;7,33951580430564;7,55543827114443;9,21574802109784;989,739495942589;1,98447364160625e-209;7,99997297264961e-207;0;2
"Mcpt2";3,03979362705954;6,45340248777589;7,56616836436759;8,28498266122527;7,35467151312297;8,39870719566577;6,41331346448446;5,97284816212892;988,815899403804;3,1418842080252e-209;1,23491758796431e-206;0;1
"Saa3";0,433750144413996;2,24143306420206;1,63707908149663;4,84724785662021;5,74088053537906;5,2776987964643;6,02478710344723;4,71418971176111;982,561605821605;7,05371056846679e-208;2,70483994042524e-205;0;2
"Dhrs9";1,91237325290316;2,22799823727836;2,85300830711723;4,38574204323282;5,97309741890606;5,20061094717031;6,55591504052255;4,92236420715147;943,786909080171;1,67730615083614e-199;6,27871602462994e-197;0;2
"Mcpt1";2,38786623420851;5,73087604689572;6,86740329224611;7,53328841154593;6,43985906160676;7,59606406414624;5,62420727520289;6,94629762724259;936,044330312081;7,88800501720755e-198;2,88407476466365e-195;0;1
"Slpi";1,72586362616357;2,61095301833439;2,35731400667318;4,80735657781547;6,29885519453487;5,42965497867577;6,05413616122175;7,73041609758376;919,95039312848;2,36010780764781e-194;8,43309430723612e-192;0;2
"Iigp1";1,80351301203663;6,4570496457905;6,9822990324396;7,78611806339222;7,3449917067734;7,26206014301448;6,41188818942536;7,76269580654249;904,376095872664;5,44941492554528e-191;1,90390447687606e-188;0;1
"S100g";0,365134963058743;2,46784753625504;2,87900038702783;2,74504349237271;1,69847366954283;-3,24015240447766;-2,17665064365158;5,51179543726714;873,682826157686;2,31155891821889e-184;7,90050637222554e-182;0;7
"Itih2";-0,0525809978228144;-0,98742990259505;-2,42327652541798;-4,31603506496823;-4,41515552056872;-7,5474082509477;-6,53159025657994;3,76690915811411;866,690870574008;7,47282758710945e-183;2,49974032605393e-180;0;6
"Tgtp2";1,08870843820457;5,60879301975691;5,68579406044496;6,63761664598461;6,2031184894036;6,14357958581303;5,3658266669556;5,99100904480543;863,360601209025;3,91267209117141e-182;1,28156313786244e-179;0;1
"Gm4951";0,888112515232039;5,87196005600712;6,38426978179464;7,76508995248404;7,3013976117272;7,63871606644075;6,54761755924562;4,61869310121901;860,228900351771;1,85599724677833e-181;5,95509973752018e-179;0;1
"Fabp6";0,447612959694162;3,14392475683461;3,56271244713651;4,33173750627286;2,98110913656519;-1,07298983255616;-1,03993275541299;4,67177725542488;848,506074994658;6,29932105062059e-179;1,98075851115714e-176;0;5
"Ubd";-0,233425359780174;3,82739813489453;3,35082365981075;5,46675602353507;5,20297911433341;4,98778888029721;4,27944176305243;6,32018861509272;846,277423389788;1,90717495604548e-178;5,87933424685236e-176;0;1
