"";"gene"
"1";"0610009B22Rik"
"2";"0610010F05Rik"
"3";"0610010K14Rik"
"4";"0610030E20Rik"
"5";"0610040J01Rik"
"6";"1110002E22Rik"
"7";"1110004F10Rik"
"8";"1110008P14Rik"
"9";"1110012L19Rik"
"10";"1110017D15Rik"
"11";"1110025L11Rik"
"12";"1110032A03Rik"
"13";"1110032F04Rik"
"14";"1110038F14Rik"
"15";"1110051M20Rik"
"16";"1110057P08Rik"
"17";"1110059E24Rik"
"18";"1110059G10Rik"
"19";"1110065P20Rik"
"20";"1190005I06Rik"
"21";"1190007I07Rik"
"22";"1300017J02Rik"
"23";"1500009C09Rik"
"24";"1500009L16Rik"
"25";"1500011B03Rik"
"26";"1600012H06Rik"
"27";"1600014C10Rik"
"28";"1600014C23Rik"
"29";"1600029O15Rik"
"30";"1700001C19Rik"
"31";"1700001F09Rik"
"32";"1700001J03Rik"
"33";"1700001J11Rik"
"34";"1700001K19Rik"
"35";"1700001L19Rik"
"36";"1700001O22Rik"
"37";"1700001P01Rik"
"38";"1700003E16Rik"
"39";"1700003F12Rik"
"40";"1700003H04Rik"
"41";"1700003N22Rik"
"42";"1700006A11Rik"
"43";"1700007E05Rik"
"44";"1700007K13Rik"
"45";"1700008O03Rik"
"46";"1700008P02Rik"
"47";"1700009N14Rik"
"48";"1700010B08Rik"
"49";"1700010I14Rik"
"50";"1700010N08Rik"
"51";"1700011L22Rik"
"52";"1700011M02Rik"
"53";"1700012A03Rik"
"54";"1700012B07Rik"
"55";"1700012B09Rik"
"56";"1700012P22Rik"
"57";"1700013F07Rik"
"58";"1700013G24Rik"
"59";"1700013H16Rik"
"60";"1700014D04Rik"
"61";"1700015F17Rik"
"62";"1700015G11Rik"
"63";"1700016C15Rik"
"64";"1700016D06Rik"
"65";"1700016H13Rik"
"66";"1700016K19Rik"
"67";"1700017B05Rik"
"68";"1700017N19Rik"
"69";"1700018B08Rik"
"70";"1700018F24Rik"
"71";"1700018M17Rik"
"72";"1700019A02Rik"
"73";"1700019D03Rik"
"74";"1700019M22Rik"
"75";"1700019N19Rik"
"76";"1700020A23Rik"
"77";"1700020D05Rik"
"78";"1700020L24Rik"
"79";"1700020N01Rik"
"80";"1700020N15Rik"
"81";"1700021F07Rik"
"82";"1700022A21Rik"
"83";"1700022I11Rik"
"84";"1700024B05Rik"
"85";"1700024G13Rik"
"86";"1700024J04Rik"
"87";"1700025B11Rik"
"88";"1700025C18Rik"
"89";"1700025G04Rik"
"90";"1700028B04Rik"
"91";"1700028J19Rik"
"92";"1700028K03Rik"
"93";"1700028P14Rik"
"94";"1700029F12Rik"
"95";"1700029H14Rik"
"96";"1700029I15Rik"
"97";"1700029J07Rik"
"98";"1700029P11Rik"
"99";"1700030C10Rik"
"100";"1700030J22Rik"
"101";"1700030K09Rik"
"102";"1700031F05Rik"
"103";"1700031M16Rik"
"104";"1700034E13Rik"
"105";"1700034I23Rik"
"106";"1700034J05Rik"
"107";"1700037C18Rik"
"108";"1700037H04Rik"
"109";"1700040F15Rik"
"110";"1700042G07Rik"
"111";"1700049E17Rik1"
"112";"1700049E17Rik2"
"113";"1700049L16Rik"
"114";"1700056E22Rik"
"115";"1700057G04Rik"
"116";"1700063K16Rik"
"117";"1700064H15Rik"
"118";"1700065I16Rik"
"119";"1700066B19Rik"
"120";"1700066M21Rik"
"121";"1700067K01Rik"
"122";"1700067P10Rik"
"123";"1700069L16Rik"
"124";"1700071K01Rik"
"125";"1700073E17Rik"
"126";"1700074P13Rik"
"127";"1700080O16Rik"
"128";"1700084J12Rik"
"129";"1700084M14Rik"
"130";"1700086D15Rik"
"131";"1700088E04Rik"
"132";"1700091H14Rik"
"133";"1700092M07Rik"
"134";"1700093K21Rik"
"135";"1700102P08Rik"
"136";"1700109H08Rik"
"137";"1700113H08Rik"
"138";"1700122O11Rik"
"139";"1700123K08Rik"
"140";"1700123L14Rik"
"141";"1700123O20Rik"
"142";"1700125H20Rik"
"143";"1700128F08Rik"
"144";"1700129C05Rik"
"145";"1810009A15Rik"
"146";"1810009J06Rik"
"147";"1810013L24Rik"
"148";"1810018F18Rik"
"149";"1810024B03Rik"
"150";"1810030O07Rik"
"151";"1810037I17Rik"
"152";"1810046K07Rik"
"153";"1810049J17Rik"
"154";"1810055G02Rik"
"155";"1810062G17Rik"
"156";"1810065E05Rik"
"157";"2010003K11Rik"
"158";"2010010A06Rik"
"159";"2010106E10Rik"
"160";"2010109A12Rik"
"161";"2010300C02Rik"
"162";"2010315B03Rik"
"163";"2200002D01Rik"
"164";"2200002J24Rik"
"165";"2210010C04Rik"
"166";"2210016F16Rik"
"167";"2210016L21Rik"
"168";"2210017I01Rik"
"169";"2210407C18Rik"
"170";"2210408I21Rik"
"171";"2210409E12Rik"
"172";"2210418O10Rik"
"173";"2300002M23Rik"
"174";"2300003K06Rik"
"175";"2300009A05Rik"
"176";"2310002L09Rik"
"177";"2310003L06Rik"
"178";"2310009B15Rik"
"179";"2310011J03Rik"
"180";"2310022A10Rik"
"181";"2310022B05Rik"
"182";"2310030G06Rik"
"183";"2310033P09Rik"
"184";"2310034C09Rik"
"185";"2310034G01Rik"
"186";"2310039H08Rik"
"187";"2310046K23Rik"
"188";"2310050C09Rik"
"189";"2310057J18Rik"
"190";"2310057M21Rik"
"191";"2310057N15Rik"
"192";"2310061I04Rik"
"193";"2310061N02Rik"
"194";"2310079G19Rik"
"195";"2410002F23Rik"
"196";"2410004B18Rik"
"197";"2410004P03Rik"
"198";"2410024N13Rik"
"199";"2410131K14Rik"
"200";"2410137M14Rik"
"201";"2410141K09Rik"
"202";"2510002D24Rik"
"203";"2510009E07Rik"
"204";"2510039O18Rik"
"205";"2610001J05Rik"
"206";"2610002M06Rik"
"207";"2610005L07Rik"
"208";"2610008E11Rik"
"209";"2610021A01Rik"
"210";"2610024D14Rik"
"211";"2610028H24Rik"
"212";"2610042L04Rik"
"213";"2610044O15Rik8"
"214";"2610301B20Rik"
"215";"2610318N02Rik"
"216";"2610507B11Rik"
"217";"2610528A11Rik"
"218";"2610528J11Rik"
"219";"2700049A03Rik"
"220";"2700062C07Rik"
"221";"2700081O15Rik"
"222";"2700097O09Rik"
"223";"2700099C18Rik"
"224";"2810004N23Rik"
"225";"2810006K23Rik"
"226";"2810021J22Rik"
"227";"2810025M15Rik"
"228";"2810039B14Rik"
"229";"2810047C21Rik1"
"230";"2810408A11Rik"
"231";"2810459M11Rik"
"232";"2900026A02Rik"
"233";"2900092C05Rik"
"234";"3000002C10Rik"
"235";"3110001I22Rik"
"236";"3110009E18Rik"
"237";"3110021N24Rik"
"238";"3110040N11Rik"
"239";"3110053B16Rik"
"240";"3110067C02Rik"
"241";"3110082I17Rik"
"242";"3110082J24Rik"
"243";"3300002I08Rik"
"244";"3425401B19Rik"
"245";"3830403N18Rik"
"246";"3830406C13Rik"
"247";"3830417A13Rik"
"248";"4430402I18Rik"
"249";"4632415L05Rik"
"250";"4833418N17Rik"
"251";"4833420G17Rik"
"252";"4833427G06Rik"
"253";"4833439L19Rik"
"254";"4921504E06Rik"
"255";"4921507P07Rik"
"256";"4921509C19Rik"
"257";"4921511C20Rik"
"258";"4921517D22Rik"
"259";"4921524J17Rik"
"260";"4921524L21Rik"
"261";"4921536K21Rik"
"262";"4921539E11Rik"
"263";"4930402F06Rik"
"264";"4930402H24Rik"
"265";"4930402K13Rik"
"266";"4930404H24Rik"
"267";"4930404N11Rik"
"268";"4930407I10Rik"
"269";"4930412O13Rik"
"270";"4930415H17Rik"
"271";"4930415L06Rik"
"272";"4930415O20Rik"
