"";"Var1";"Freq"
"1";"G_D0_E_ut";4079
"2";"G_D10_E_ut";3151
"3";"G_D20_E_ut";4031
"4";"G_D30_E_il";4083
"5";"G_D40_E_il";1122
"6";"G_D40_E_ut";383
"7";"G_D50_E_ut";3947
"8";"G_D60_E_il";3487
"9";"G_D60_E_ut";4340
"10";"G_W0_Epi";2702
"11";"G_W1_Epi";10373
"12";"G_W2_Epi";4796
"13";"G_W3_Epi";5511
"14";"G_W3_Epi_aIL12";5622
"15";"G_W4_Epi";1164
"16";"G_W5_Epi";7589
"17";"G_W5_Epi_aIL12";2248
"18";"G_W6_Epi";7306
"19";"G_W7_Epi";7278
"20";"G_W7_Epi_aIL12";543
"21";"G_D0_S_ut";12789
"22";"G_D10_S_ut";12771
"23";"G_D20_S_ut";13725
"24";"G_D50_S_ut";3664
"25";"G_D60_S_ut";3487
"26";"G_W0_Str";25781
"27";"G_W1_Str";19414
"28";"G_W2_Str";19918
"29";"G_W3_Str";14936
"30";"G_W4_Str";5776
"31";"G_W5_Str";12867
"32";"G_W6_Str";1747
"33";"G_W7_Str";496
"34";"G_W7_Str_aIL12";9782
"35";"G_D0_I_ut";9593
"36";"G_D10_I_ut";6838
"37";"G_D20_I_ut";15146
"38";"G_D40_I_ut";20477
"39";"G_D50_I_ut";11977
"40";"G_D60_I_ut";21089
"41";"G_W0_Imm";16910
"42";"G_W1_Imm";12769
"43";"G_W2_Imm";21229
"44";"G_W3_Imm";12683
"45";"G_W4_Imm";18103
"46";"G_W5_Imm";14053
"47";"G_W6_Imm";11534
"48";"G_W7_Imm";12032
"49";"G_W7_Imm_aIL12";12604
